"twitter_handle","last","first"
"gophelp","","G"
"housedemwomen","","H"
"rokhanna","khanna","R"
"reelecthank","","R"
"joshharder","harder","J"
"grace4ny","","G"
"timburchett","burchett","T"
"ilhanmn","","I"
"housejudiciary","","H"
"housedemocrats","","H"
"kilili_sablan","","K"
"houseforeign","","H"
"joekennedy","kennedy","J"
"carolynbmaloney","maloney","C"
"edmarkey","markey","E"
"houseforeigngop","","H"
"teampelosi","pelosi","T"
"capac","","C"
"bleeforcongress","lee","B"
"edlaborcmte","","E"
"markpocan","pocan","M"
"berniesanders","sanders","B"
"senategop","","S"
"housesmallbiz","small","H"
"hispaniccaucus","","H"
"energycommerce","","E"
"transportgop","","T"
"drpaulgosar","paul","D"
"drpaulgosar","gosar","D"
"housecommerce","","H"
"appropsdems","","A"
"vetaffairsdems","","V"
"cheribustos","bustos","C"
"johnsarbanes","sarbanes","J"
"tinasmithmn","smith","T"
"ewarren","warren","E"
"waysmeanscmte","","W"
"seancasten","casten","S"
"house_drtf","","H"
"senatorloeffler","","S"
"nrsc","","N"
"oversightdems","","O"
"nrcc","","N"
"karenhandel","","K"
"perduesenate","perdue","P"
"degette5280","degette","D"
"chrispappasnh","pappas","C"
"timryan","ryan","T"
"tedcruz","cruz","T"
"castro4congress","castro","C"
"norma4congress","","N"
"chuyforcongress","chu","C"
"auctnr1","","A"
"chiproytx","roy","C"
"houseadm_dems","","H"
"senatebudget","","S"
"dickdurbin","durbin","D"
"gopoversight","","G"
"theblackcaucus","","T"
"dsenfloor","","D"
"housesciencegop","","H"
"caucusonclimate","","C"
"senatecommerce","","S"
"judgejohncarter","carter","J"
"dainesformt","daines","D"
"benraylujan","lujan","B"
"fscdems","","F"
"reelectnydia","","R"
"tedlieu","lieu","T"
"westerncaucus","","W"
"natresources","","N"
"financialcmte","","F"
"buddy_carter","carter","B"
"buddy_carter","budd","B"
"houseappropsgop","","H"
"usjapancaucus","","U"
"senateapprops","","S"
"mccaulfortexas","mccaul","M"
"dancrenshawtx","crenshaw","D"
"nrdems","","N"
"jaredhuffman","huffman","J"
"repjenniffer","","R"
"sendemsclimate","","S"
"spanbergerva07","spanberger","S"
"team_mitch","","T"
"debbieforfl","","D"
"rashidatlaib","tlaib","R"
"mikelevin","levin","M"
"annlwagner","wagner","A"
"sencortezmasto","mast","S"
"tomcottonar","cotton","T"
"barbaraleesays","lee","B"
"grassleypress","grassley","G"
"marygayscanlon","scanlon","M"
"dwightevanspa","evans","D"
"deb4congressnm","","D"
"dwstweets","","D"
"denver4va","","D"
"dougjones","jones","D"
"aoc","","A"
"bradleybyrne","byrne","B"
"vgescobar","escobar","V"
"homelandgop","","H"
"newdemcoalition","","N"
"derekkilmer","kilmer","D"
"robinlynnekelly","kelly","R"
"senatedems","","S"
"marcy_kaptur","kaptur","M"
"teamcornyn","cornyn","T"
"housebudgetdems","","H"
"lacyclaymo1","clay","L"
"anthonybrownmd4","brown","A"
"lancegooden","gooden","L"
"malinowski","malinowski","M"
"staceyplaskett","","S"
"lacongresista","","L"
"homelanddems","","H"
"collinsforga","collins","C"
"lgbteqcaucus","","L"
"joycebeatty","beatty","J"
"joycebeatty","joyce","J"
"leezeldin","lee","L"
"leezeldin","zeldin","L"
"ayannapressley","pressley","A"
"mcgovernma","mcgovern","M"
"clyburnsc06","clyburn","C"
"davidcicilline","cicilline","D"
"jecrepublicans","","J"
"housevetaffairs","","H"
"pascrellfornj","pascrell","P"
"murraycampaign","murray","M"
"transportdems","","T"
"joecunninghamsc","cunningham","J"
"donnashalala","shalala","D"
"dscc","","D"
"billcassidy","cassidy","B"
"markdesaulnier","desaulnier","M"
"paultonko","paul","P"
"paultonko","tonko","P"
"delgadoforny19","delgado","D"
"freedomcaucus","reed","F"
"cbcpac","","C"
"senatemajldr","","S"
