twitter_handle,last,first,party
gophelp,,,republican
housedemwomen,,,democrat
rokhanna,khanna,R,
reelecthank,johnson,H,
joshharder,harder,J,
grace4ny,meng,G,
timburchett,burchett,T,
ilhanmn,omar,I,
housejudiciary,,,democrat
housedemocrats,,,democrat
kilili_sablan,sablan,K,
houseforeign,,,democrat
joekennedy,kennedy,J,
carolynbmaloney,maloney,C,
edmarkey,markey,E,
houseforeigngop,,,republican
teampelosi,pelosi,N,
capac,,,
bleeforcongress,lee,B,
edlaborcmte,,,democrat
markpocan,pocan,M,
berniesanders,sanders,B,
senategop,,,republican
housesmallbiz,,,democrat
hispaniccaucus,,,
energycommerce,,,democrat
transportgop,,,republican
drpaulgosar,gosar,P,
housecommerce,,,democrat
appropsdems,,,democrat
vetaffairsdems,,,democrat
cheribustos,bustos,C,
johnsarbanes,sarbanes,J,
tinasmithmn,smith,T,
ewarren,warren,E,
waysmeanscmte,,,democrat
seancasten,casten,S,
house_drtf,,,
senatorloeffler,loeffler,K,republican
nrsc,,,republican
oversightdems,,,democrat
nrcc,,,republican
karenhandel,,K,
perduesenate,perdue,D,
degette5280,degette,D,
chrispappasnh,pappas,C,
timryan,ryan,T,
tedcruz,cruz,T,
castro4congress,castro,J,
norma4congress,,N,
chuyforcongress,chuy,J,
auctnr1,long,B,
chiproytx,roy,C,
houseadm_dems,,,democrat
senatebudget,,,republican
dickdurbin,durbin,R,
gopoversight,,,republican
theblackcaucus,,,
dsenfloor,,,democrat
housesciencegop,,,republican
caucusonclimate,,,
senatecommerce,,,republican
judgejohncarter,carter,J,
dainesformt,daines,S,
benraylujan,lujan,B,
fscdems,,,democrat
reelectnydia,velazquez,N,
tedlieu,lieu,T,
westerncaucus,,,
natresources,,,republican
financialcmte,,,republican
buddy_carter,carter,B,
houseappropsgop,,,republican
usjapancaucus,,,
senateapprops,,,republican
mccaulfortexas,mccaul,M,
dancrenshawtx,crenshaw,D,
nrdems,,,democrat
jaredhuffman,huffman,J,
repjenniffer,gonzalez,J,
sendemsclimate,,,democrat
spanbergerva07,spanberger,A,
team_mitch,mcconnell,M,
debbieforfl,mucarsel-powell,D,
rashidatlaib,tlaib,R,
mikelevin,levin,M,
annlwagner,wagner,A,
sencortezmasto,cortez-masto,C,
tomcottonar,cotton,T,
barbaraleesays,lee,B,
grassleypress,grassley,C,
marygayscanlon,scanlon,M,
dwightevanspa,evans,D,
deb4congressnm,haaland,D,
dwstweets,schultz,D,
denver4va,riggleman,D,
dougjones,jones,G,
aoc,ocasio-cortez,A,
bradleybyrne,byrne,B,
vgescobar,escobar,V,
homelandgop,,,republican
newdemcoalition,,,democrat
derekkilmer,kilmer,D,
robinlynnekelly,kelly,R,
senatedems,,,democrat
marcy_kaptur,kaptur,M,
teamcornyn,cornyn,J,
housebudgetdems,,,democrat
lacyclaymo1,clay,L,
anthonybrownmd4,brown,A,
lancegooden,gooden,L,
malinowski,malinowski,T,
staceyplaskett,plaskett,S,
lacongresista,garcia,S,
homelanddems,,,democrat
collinsforga,collins,D,
lgbteqcaucus,,,
joycebeatty,beatty,J,
leezeldin,zeldin,L,
ayannapressley,pressley,A,
mcgovernma,mcgovern,J,
clyburnsc06,clyburn,J,
davidcicilline,cicilline,D,
jecrepublicans,,,republican
housevetaffairs,,,democrat
pascrellfornj,pascrell,B,
